,,,,,,,,,,,,
,,,,,,,,,,,,
,Number of items to be rated (N) = 202,,,,,,,,,,,
,number of raters (n) = 3,,,,,,,,,,,
,Nn = 606,,,,,,,,,,,
,,,,,,,,,,,,
,,,Synch Number,Event,Random,,,sum,sum sqr cts,sum cts/(3*2),,
,,,1,0,3,,,3,6,1,,
,,,2,0,3,,,3,6,1,,
,,,3,0,3,,,3,6,1,,
,,,4,0,3,,,3,6,1,,
,,,5,0,3,,,3,6,1,,
,,,6,0,3,,,3,6,1,,
,,,7,0,3,,,3,6,1,,
,,,8,0,3,,,3,6,1,,
,,,9,0,3,,,3,6,1,,
,,,10,0,3,,,3,6,1,,
,,,11,0,3,,,3,6,1,,
,,,12,0,3,,,3,6,1,,
,,,13,3,0,,,3,6,1,,
,,,14,2,1,,,3,2,0.3333333333,,
,,,15,2,1,,,3,2,0.3333333333,,
,,,16,2,1,,,3,2,0.3333333333,,
,,,17,1,2,,,3,2,0.3333333333,,
,,,18,0,3,,,3,6,1,,
,,,19,0,3,,,3,6,1,,
,,,20,0,3,,,3,6,1,,
,,,21,0,3,,,3,6,1,,
,,,22,0,3,,,3,6,1,,
,,,23,0,3,,,3,6,1,,
,,,24,0,3,,,3,6,1,,
,,,25,1,2,,,3,2,0.3333333333,,
,,,26,1,2,,,3,2,0.3333333333,,
,,,27,0,3,,,3,6,1,,
,,,28,0,3,,,3,6,1,,
,,,29,1,2,,,3,2,0.3333333333,,
,,,30,0,3,,,3,6,1,,
,,,31,0,3,,,3,6,1,,
,,,32,0,3,,,3,6,1,,
,,,33,0,3,,,3,6,1,,
,,,34,0,3,,,3,6,1,,
,,,35,0,3,,,3,6,1,,
,,,36,0,3,,,3,6,1,,
,,,37,0,3,,,3,6,1,,
,,,38,0,3,,,3,6,1,,
,,,39,0,3,,,3,6,1,,
,,,40,0,3,,,3,6,1,,
,,,41,0,3,,,3,6,1,,
,,,42,0,3,,,3,6,1,,
,,,43,1,2,,,3,2,0.3333333333,,
,,,44,0,3,,,3,6,1,,
,,,45,0,3,,,3,6,1,,
,,,46,2,1,,,3,2,0.3333333333,,
,,,47,1,2,,,3,2,0.3333333333,,
,,,48,1,2,,,3,2,0.3333333333,,
,,,49,2,1,,,3,2,0.3333333333,,
,,,50,1,2,,,3,2,0.3333333333,,
,,,51,1,2,,,3,2,0.3333333333,,
,,,52,1,2,,,3,2,0.3333333333,,
,,,53,0,3,,,3,6,1,,
,,,54,0,3,,,3,6,1,,
,,,55,3,0,,,3,6,1,,
,,,56,3,0,,,3,6,1,,
,,,57,3,0,,,3,6,1,,
,,,58,2,1,,,3,2,0.3333333333,,
,,,59,3,0,,,3,6,1,,
,,,60,2,1,,,3,2,0.3333333333,,
,,,61,2,1,,,3,2,0.3333333333,,
,,,62,3,0,,,3,6,1,,
,,,63,2,1,,,3,2,0.3333333333,,
,,,64,0,3,,,3,6,1,,
,,,65,0,3,,,3,6,1,,
,,,66,0,3,,,3,6,1,,
,,,67,0,3,,,3,6,1,,
,,,68,0,3,,,3,6,1,,
,,,69,0,3,,,3,6,1,,
,,,70,0,3,,,3,6,1,,
,,,71,0,3,,,3,6,1,,
,,,72,0,3,,,3,6,1,,
,,,73,0,3,,,3,6,1,,
,,,74,0,3,,,3,6,1,,
,,,75,2,1,,,3,2,0.3333333333,,
,,,76,2,1,,,3,2,0.3333333333,,
,,,77,2,1,,,3,2,0.3333333333,,
,,,78,1,2,,,3,2,0.3333333333,,
,,,79,1,2,,,3,2,0.3333333333,,
,,,80,1,2,,,3,2,0.3333333333,,
,,,81,1,2,,,3,2,0.3333333333,,
,,,82,1,2,,,3,2,0.3333333333,,
,,,83,1,2,,,3,2,0.3333333333,,
,,,84,1,2,,,3,2,0.3333333333,,
,,,85,1,2,,,3,2,0.3333333333,,
,,,86,1,2,,,3,2,0.3333333333,,
,,,87,1,2,,,3,2,0.3333333333,,
,,,88,1,2,,,3,2,0.3333333333,,
,,,89,1,2,,,3,2,0.3333333333,,
,,,90,1,2,,,3,2,0.3333333333,,
,,,91,1,2,,,3,2,0.3333333333,,
,,,92,1,2,,,3,2,0.3333333333,,
,,,93,1,2,,,3,2,0.3333333333,,
,,,94,2,1,,,3,2,0.3333333333,,
,,,95,2,1,,,3,2,0.3333333333,,
,,,96,3,0,,,3,6,1,,
,,,97,1,2,,,3,2,0.3333333333,,
,,,98,0,3,,,3,6,1,,
,,,99,0,3,,,3,6,1,,
,,,100,1,2,,,3,2,0.3333333333,,
,,,101,0,3,,,3,6,1,,
,,,102,1,2,,,3,2,0.3333333333,,
,,,103,1,2,,,3,2,0.3333333333,,
,,,104,1,2,,,3,2,0.3333333333,,
,,,105,2,1,,,3,2,0.3333333333,,
,,,106,3,0,,,3,6,1,,
,,,107,1,2,,,3,2,0.3333333333,,
,,,108,2,1,,,3,2,0.3333333333,,
,,,109,2,1,,,3,2,0.3333333333,,
,,,110,1,2,,,3,2,0.3333333333,,
,,,111,3,0,,,3,6,1,,
,,,112,3,0,,,3,6,1,,
,,,113,3,0,,,3,6,1,,
,,,114,2,1,,,3,2,0.3333333333,,
,,,115,2,1,,,3,2,0.3333333333,,
,,,116,3,0,,,3,6,1,,
,,,117,0,3,,,3,6,1,,
,,,118,0,3,,,3,6,1,,
,,,119,0,3,,,3,6,1,,
,,,120,0,3,,,3,6,1,,
,,,121,0,3,,,3,6,1,,
,,,122,0,3,,,3,6,1,,
,,,123,0,3,,,3,6,1,,
,,,124,0,3,,,3,6,1,,
,,,125,0,3,,,3,6,1,,
,,,126,0,3,,,3,6,1,,
,,,127,0,3,,,3,6,1,,
,,,128,0,3,,,3,6,1,,
,,,129,0,3,,,3,6,1,,
,,,130,0,3,,,3,6,1,,
,,,131,0,3,,,3,6,1,,
,,,132,0,3,,,3,6,1,,
,,,133,0,3,,,3,6,1,,
,,,134,0,3,,,3,6,1,,
,,,135,3,0,,,3,6,1,,
,,,136,3,0,,,3,6,1,,
,,,137,3,0,,,3,6,1,,
,,,138,0,3,,,3,6,1,,
,,,139,0,3,,,3,6,1,,
,,,140,0,3,,,3,6,1,,
,,,141,0,3,,,3,6,1,,
,,,142,0,3,,,3,6,1,,
,,,143,0,3,,,3,6,1,,
,,,144,0,3,,,3,6,1,,
,,,145,0,3,,,3,6,1,,
,,,146,3,0,,,3,6,1,,
,,,147,2,1,,,3,2,0.3333333333,,
,,,148,3,0,,,3,6,1,,
,,,149,2,1,,,3,2,0.3333333333,,
,,,150,2,1,,,3,2,0.3333333333,,
,,,151,2,1,,,3,2,0.3333333333,,
,,,152,2,1,,,3,2,0.3333333333,,
,,,153,2,1,,,3,2,0.3333333333,,
,,,154,2,1,,,3,2,0.3333333333,,
,,,155,2,1,,,3,2,0.3333333333,,
,,,156,2,1,,,3,2,0.3333333333,,
,,,157,2,1,,,3,2,0.3333333333,,
,,,158,2,1,,,3,2,0.3333333333,,
,,,159,1,2,,,3,2,0.3333333333,,
,,,160,2,1,,,3,2,0.3333333333,,
,,,161,3,0,,,3,6,1,,
,,,162,1,2,,,3,2,0.3333333333,,
,,,163,1,2,,,3,2,0.3333333333,,
,,,164,2,1,,,3,2,0.3333333333,,
,,,165,1,2,,,3,2,0.3333333333,,
,,,166,2,1,,,3,2,0.3333333333,,
,,,167,2,1,,,3,2,0.3333333333,,
,,,168,2,1,,,3,2,0.3333333333,,
,,,169,1,2,,,3,2,0.3333333333,,
,,,170,1,2,,,3,2,0.3333333333,,
,,,171,2,1,,,3,2,0.3333333333,,
,,,172,2,1,,,3,2,0.3333333333,,
,,,173,1,2,,,3,2,0.3333333333,,
,,,174,3,0,,,3,6,1,,
,,,175,0,3,,,3,6,1,,
,,,176,0,3,,,3,6,1,,
,,,177,0,3,,,3,6,1,,
,,,178,1,2,,,3,2,0.3333333333,,
,,,179,0,3,,,3,6,1,,
,,,180,0,3,,,3,6,1,,
,,,181,0,3,,,3,6,1,,
,,,182,0,3,,,3,6,1,,
,,,183,0,3,,,3,6,1,,
,,,184,0,3,,,3,6,1,,
,,,185,0,3,,,3,6,1,,
,,,186,3,0,,,3,6,1,,
,,,187,3,0,,,3,6,1,,
,,,188,3,0,,,3,6,1,,
,,,189,3,0,,,3,6,1,,
,,,190,3,0,,,3,6,1,,
,,,191,1,2,,,3,2,0.3333333333,,
,,,192,0,3,,,3,6,1,,
,,,193,1,2,,,3,2,0.3333333333,,
,,,194,0,3,,,3,6,1,,
,,,195,1,2,,,3,2,0.3333333333,,
,,,196,0,3,,,3,6,1,,
,,,197,0,3,,,3,6,1,,
,,,198,0,3,,,3,6,1,,
,,,199,0,3,,,3,6,1,,
,,,200,0,3,,,3,6,1,,
,,,201,0,3,,,3,6,1,,
,,,202,0,3,,,3,6,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,sum,,190,416,,,,,148,s1,
,,sum/606,,0.3102310231,0.6864686469,,,,,0.7277227723,s1/N, =MP
,,sum/(606)^2,,0.0005119323814,0.001132786546,,0.001644718927,,,,,
,,,,,,,MPe,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Kappa Coefficient,k =,0.727274215,,,,,,,
